_date,total_clones,unique_clones
2022-03-16,9,8
2022-03-20,1,1
2022-03-28,2,2
2022-04-03,1,1
2022-04-04,1,1
2022-04-06,2,1
2022-04-10,1,1
2022-04-14,1,1
2022-04-17,1,1
2022-04-18,1,1
2022-04-24,1,1
2022-04-25,1,1
2022-05-01,1,1
2022-05-08,2,1
2022-05-09,2,2
2022-05-11,2,1
2022-05-13,2,1
2022-05-15,2,1
2022-05-16,2,2
2022-05-17,2,1
2022-05-19,2,1
2022-05-21,2,1
2022-05-22,1,1
2022-05-23,1,1
2022-05-29,1,1
2022-05-30,2,2
2022-06-02,2,1
2022-06-05,3,2
2022-06-13,3,2
2022-06-19,2,2
2022-06-20,1,1
2022-06-26,3,2
2022-06-27,1,1
2022-07-03,3,3
2022-07-04,2,2
2022-07-05,2,1
2022-07-10,1,1
2022-07-11,1,1
2022-07-13,2,1
2022-07-18,2,2
2022-07-22,2,1
2022-07-23,1,1
2022-07-24,1,1
2022-07-25,3,3
2022-07-29,1,1
2022-07-31,3,2
2022-08-01,1,1
2022-08-02,1,1
2022-08-07,1,1
2022-08-08,7,6
2022-08-09,2,1
2022-08-14,1,1
2022-08-15,2,2
2022-08-19,2,1
2022-08-21,1,1
2022-08-28,1,1
2022-08-30,2,1
2022-09-04,1,1
2022-09-05,1,1
2022-09-12,2,2
2022-09-13,2,1
2022-09-19,2,2
2022-09-24,1,1
2022-09-26,1,1
2022-10-03,1,1
2022-10-04,1,1
2022-10-10,2,2
2022-10-16,1,1
