_date,total_views,unique_views
2022-03-16,3,2
2022-03-25,4,1
2022-04-06,2,1
2022-04-10,2,1
2022-04-30,1,1
2022-05-13,1,1
2022-07-19,1,1
2022-07-29,1,1
2022-08-31,1,1
2022-09-08,3,1
2022-09-29,1,1
2022-12-04,1,1
2022-12-06,1,1
2022-12-09,1,1
2022-12-14,1,1
2022-12-21,1,1
2022-12-27,2,1
2023-01-17,1,1
2023-02-23,1,1
2023-03-30,1,1
2023-03-31,1,1
2023-04-27,2,1
2023-07-13,1,1
2023-07-26,1,1
2023-08-16,1,1
2023-08-27,1,1
2023-08-29,1,1
2023-09-06,2,1
2023-10-08,1,1
2023-10-09,11,1
2023-10-24,1,1
2024-01-15,2,1
2024-02-16,1,1
2024-03-12,1,1
2024-04-09,1,1
2024-04-17,6,1
2024-05-10,1,1
2024-05-13,1,1
2025-01-02,2,1
2025-07-16,32,6
2025-07-26,8,3
2025-07-27,20,6
2025-09-16,2,1
2025-10-07,16,16
2025-10-10,1,1
2025-12-14,0,0
2025-12-15,0,0
2025-12-16,0,0
2025-12-17,0,0
2025-12-18,0,0
2025-12-19,0,0
2025-12-20,0,0
2025-12-21,0,0
2025-12-22,0,0
2025-12-23,0,0
2025-12-24,0,0
2025-12-25,0,0
2025-12-26,0,0
2025-12-27,0,0
2025-12-28,0,0
2025-12-29,0,0
2025-12-30,0,0
2025-12-31,0,0
2026-01-01,0,0
2026-01-02,0,0
2026-01-03,0,0
